Esperava-se que o cabeçalho `No` não estivesse presente, mas está presente em mappings.get(0).getRequest().getHeaders().
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch(
```
 retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que WireMock.notContaining("thing").match("otherstuff").isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que WireMock.notContaining("thing").match(null).isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que WireMock.containing("thing").match("mythings").isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se uma correspondência exata para a string XML fornecida, mas pattern.match(...).isExactMatch() retornou falso.
Esperava-se uma correspondência exata para a string XML fornecida, mas pattern.match(...).isExactMatch() retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse falso, mas retornou verdadeiro.
Esperava-se uma correspondência exata, mas match.isExactMatch() retornou falso.
Esperava-se uma correspondência exata, mas match.isExactMatch() retornou falso.
Esperava-se que pattern.match(...) retornasse falso, mas retornou verdadeiro.
Esperava-se uma correspondência exata para "<my-attribs two=\"2\" one=\"1\" three=\"3\"/>", mas pattern.match(...).isExactMatch() retornou falso.
Esperava-se uma correspondência exata para "<my-elements>\n    <two />\n    <three />\n    <one />\n</my-elements>", mas pattern.match(...).isExactMatch() retornou falso.
Esperava-se uma correspondência exata para xmlWithDtdThatCannotBeFetched, mas pattern.match(...).isExactMatch() retornou falso.
Esperava-se que equalToXmlPattern.getPlaceholderOpeningDelimiterRegex() fosse nulo, mas não era.
Esperava-se que equalToXmlPattern.getPlaceholderClosingDelimiterRegex() fosse nulo, mas não era.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se que stringValuePattern fosse uma instância de EqualToXmlPattern, mas não era.
Esperava-se que stringValuePattern fosse uma instância de EqualToXmlPattern, mas não era.
Esperava-se que equalToXmlPattern.isEnablePlaceholders() retornasse enablePlaceholders, mas retornou um valor diferente.
Esperava-se que equalToXmlPattern.getPlaceholderOpeningDelimiterRegex() retornasse placeholderOpeningDelimiterRegex, mas retornou um valor diferente.
Esperava-se que equalToXmlPattern.getPlaceholderClosingDelimiterRegex() retornasse placeholderClosingDelimiterRegex, mas retornou um valor diferente.
Esperava-se que matchResult.isExactMatch() retornasse verdadeiro, mas retornou falso.
Esperava-se uma correspondência exata entre pattern e actual, mas pattern.match(actual).isExactMatch() retornou falso.
Esperava-se que pattern.isMatchAny() retornasse verdadeiro, mas retornou falso.
Esperava-se que pattern.getBodyPatterns() fosse nulo, mas não era.
Esperava-se que pattern.isMatchAll() retornasse verdadeiro, mas retornou falso.
Esperava-se que pattern.getHeaders() fosse nulo, mas não era.
Esperava-se que pattern.isMatchAny() retornasse verdadeiro, mas retornou falso.
Esperava-se que pattern.isMatchAny() retornasse verdadeiro, mas retornou falso.
Esperava-se que pattern.getBodyPatterns().get(0).getExpected() fosse igual a expectedBinary, mas não era.
Esperava-se que pattern.isMatchAll() retornasse verdadeiro, mas retornou falso.
Esperava-se que pattern.isMatchAll() retornasse falso, mas retornou verdadeiro.
Esperava-se que pattern.isMatchAny() retornasse falso, mas retornou verdadeiro.
Esperava-se que pattern.isMatchAll() retornasse falso, mas retornou verdadeiro.
Esperava-se que pattern.isMatchAll() retornasse falso, mas retornou verdadeiro.
Esperava-se que pattern.isMatchAny() retornasse falso, mas retornou verdadeiro.
Esperava-se uma correspondência exata para "2021-06-14T12:13:14Z", mas matcher.match("2021-06-14T12:13:14Z").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "1921-06-14T12:13:14Z", mas matcher.match("1921-06-14T12:13:14Z").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2021-06-24T12:40:27Z", mas matcher.match("2021-06-24T12:40:27Z").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "2021-06-24T13:40:27Z", mas matcher.match("2021-06-24T13:40:27Z").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2021-06-14T12:13:14", mas matcher.match("2021-06-14T12:13:14").isExactMatch() retornou falso.
Esperava-se que não houvesse uma correspondência exata para "1921-06-14T12:13:14", mas matcher.match("1921-06-14T12:13:14").isExactMatch() retornou verdadeiro.
Esperava-se uma correspondência exata para "2021-06-14T12:13:14Z", mas matcher.match("2021-06-14T12:13:14Z").isExactMatch() retornou falso.
